State,EAS Community,Annual contract subsidy rates,EAS Carrier,Docket,Contract Date Start,Contract Date End,Currently Effective Rate Order,Current Hubs Served,Aircraft,Seats,RTs/Day,Number of weekly round trips,Airport Code,Airport Lat,Airport Long,Hub Lat,Hub Long
HI,Hana,"$157,309",Mokulele,OST-1999-6502,02/01/20,01/31/24,2020-2-3,OGG,Caravan,9,2,14,HNM,20.795637,-156.014437,20.898649,-156.430458
HI,Kamuela,"$370,294",Mokulele,OST-1997-2833,07/01/19,06/30/21,2019-5-25,OGG,Caravan,9,2,12,MUE,20.001327,-155.668106,20.898649,-156.430458
IA,Burlington,"$1,207,782",Air Choice One,OST-2001-8731,02/01/18,01/31/22,2017-12-20,ORD,Caravan,9,4,24,BRL,40.783222,-91.125499,41.974522,-87.906596
IA,Burlington,"$1,207,782",Air Choice One,OST-2001-8731,02/01/18,01/31/22,2017-12-20,STL,Caravan,9,4,24,BRL,40.783222,-91.125499,38.748697,-90.370028
IA,Fort Dodge,"$1,460,202.50",Air Choice One,OST-2001-10682,03/01/17,02/28/21,2016-12-28,MSP,Caravan,9,4,24,FOD,42.551194,-94.191832,44.881972,-93.221777
IA,Fort Dodge,"$1,460,202.50",Air Choice One,OST-2001-10682,03/01/17,02/28/21,2016-12-28,STL,Caravan,9,4,24,FOD,42.551194,-94.191832,38.748697,-90.370028
IA,Mason City,"$1,460,202.50",Air Choice One,OST-2001-10684,03/01/17,02/28/21,2016-12-28,MSP,Caravan,9,4,24,MCW,43.157806,-93.331249,44.881972,-93.221777
IA,Mason City,"$1,460,202.50",Air Choice One,OST-2001-10684,03/01/17,02/28/21,2016-12-28,ORD,Caravan,9,4,24,MCW,43.157806,-93.331249,41.974522,-87.906596
IA,Waterloo,"$1,659,159",American,OST-2011-0132,05/01/20,04/30/22,2020-2-10,ORD,ERJ-145,50,2,13,ALO,42.557083,-92.400332,41.974522,-87.906596
IL,Decatur,"$2,993,168",SkyWest,OST-2006-23929,03/05/20,01/31/22,2019-12-4,ORD,CRJ-200,50,2,12,DEC,39.834562,-88.865688,41.974522,-87.906596
IL,Marion/Herrin,"$1,466,668.50",Cape Air,OST-2000-7881,12/01/19,11/30/23,2019-10-13,BNA,C-402/Tecnam,9,6,36,MWA,37.754972,-89.011082,36.124475,-86.67818
IL,Marion/Herrin,"$1,466,668.50",Cape Air,OST-2000-7881,12/01/19,11/30/23,2019-10-13,STL,C-402/Tecnam,9,6,36,MWA,37.754972,-89.011082,38.748697,-90.370028
IL,"Quincy/Hannibal, MO","$1,529,873",Cape Air,OST-2003-14492,01/07/20,11/30/21,2019-10-13,ORD,C-402/Tecnam,9,6,36,UIN,39.943017,-91.194462,41.974522,-87.906596
IL,"Quincy/Hannibal, MO","$1,529,873",Cape Air,OST-2003-14492,01/07/20,11/30/21,2019-10-13,STL,C-402/Tecnam,9,6,36,UIN,39.943017,-91.194462,38.748697,-90.370028
KS,Dodge City,"$3,774,652",SkyWest,OST-1998-3502,02/13/20,01/31/23,2019-12-9,DEN,CRJ-200,50,2,12,DDC,37.763111,-99.965416,39.861667,-104.673166
KS,Garden City,"$772,065",American,OST-1998-3503,08/01/20,07/31/22,2020-6-11,DFW,ERJ-140,44,2,14,GCK,37.927528,-100.724416,32.897233,-97.037694
KS,Hays,"$3,123,573",SkyWest,OST-1998-3497,08/01/18,07/31/21,2018-5-13,DEN,CRJ-200,50,2,12,HYS,38.842222,-99.273166,39.861667,-104.673166
KS,"Liberal/Guymon, OK","$3,788,409",SkyWest,OST-1998-3498,02/01/20,01/31/23,2019-12-9,DEN,CRJ-200,50,2,12,LBL,37.043917,-100.959971,39.861667,-104.673166
KS,Salina,"$1,655,083",SkyWest,OST-2002-11376,04/01/20,03/31/23,2020-1-15,DEN,CRJ-200,50,2,12,SLN,38.790611,-97.652221,39.861667,-104.673166
KS,Salina,"$1,655,083",SkyWest,OST-2002-11376,04/01/20,03/31/23,2020-1-15,ORD,CRJ-200,50,2,12,SLN,38.790611,-97.652221,41.974522,-87.906596
KY,Owensboro,"$2,038,398",Cape Air,OST-2000-7855,01/01/20,12/31/21,2019-10-14,BNA,C-402/Tecnam,9,3,21,OWB,37.738834,-87.166828,36.124475,-86.67818
KY,Owensboro,"$2,038,398",Cape Air,OST-2000-7855,01/01/20,12/31/21,2019-10-14,STL,C-402/Tecnam,9,3,21,OWB,37.738834,-87.166828,38.748697,-90.370028
KY,Paducah,"$3,117,436",SkyWest,OST-2009-0299,02/01/20,01/31/23,2020-2-1,ORD,CRJ-200,50,2,14,PAH,37.060288,-88.772958,41.974522,-87.906596
ME,Augusta/Waterville,"$2,109,977",Cape Air,OST-1997-2784,11/01/18,10/31/22,2018-9-4,BOS,Cessna 402,9,3 or 4,28 Peak/21 off-peak,AUG,44.32065,-69.797317,42.362944,-71.006388
ME,Bar Harbor (Labor Day to Memorial Day),"$1,886,213",Cape Air,OST-2011-0185,07/01/16,06/30/20,2016-4-10,BOS,Cessna 402,9,3,21,BHB,44.449705,-68.361489,42.362944,-71.006388
ME,Bar Harbor (Memorial Day to Labor Day),"$1,399,714",Silver Airways,OST-2011-0185,07/01/18,10/14/20,2020-2-9,BOS,Saab 340,34,2,14,BHB,44.449705,-68.361489,42.362944,-71.006388
ME,Presque Isle/Houlton,"$6,838,045",United,OST-2000-8012,07/01/20,06/30/22,2020-5-10,EWR,ERJ-145,50,2,12,PQI,46.688964,-68.04479,40.69248,-74.168686
ME,Rockland,"$2,306,851",Cape Air,OST-1997-2784,11/01/18,10/31/22,2018-9-4,BOS,Cessna 402,9,3 to 6,42 Peak/28 spring/21 off-peak,RKD,44.060142,-69.099669,42.362944,-71.006388
MI,Alpena,"$2,404,327",SkyWest,OST-2009-0300,10/01/18,09/30/20,2018-5-38,DTW,CRJ-200,50,2,12,APN,45.078083,-83.560305,42.212444,-83.353388
MI,Escanaba,"$3,017,718",SkyWest,OST-2003-15128,01/01/19,12/31/20,2018-6-18,DTW,CRJ-200,50,2,12,ESC,45.722675,-87.093716,42.212444,-83.353388
MI,Hancock/Houghton,"$2,204,520",SkyWest,OST-2009-0302,02/01/20,01/31/23,2020-2-1,ORD,CRJ-200,50,2,14,CMX,47.168417,-88.48906,41.974522,-87.906596
MI,Iron Mountain/Kingsford,"$1,637,756",SkyWest,OST-1999-5175,02/01/19,01/31/21,2018-10-18,DTW,CRJ-200,50,2,13,IMT,45.818361,-88.114555,42.212444,-83.353388
MI,Iron Mountain/Kingsford,"$1,637,756",SkyWest,OST-1999-5175,02/01/19,01/31/21,2018-10-18,MSP,CRJ-200,50,2,13,IMT,45.818361,-88.114555,44.881972,-93.221777
MI,"Ironwood/Ashland, WI","$1,796,732",Boutique Air,OST-1996-1266,08/01/20,07/31/22,2020-4-5,MSP,PC-12,9,3,18,IWD,46.527472,-90.131388,44.881972,-93.221777
MI,"Ironwood/Ashland, WI","$1,796,732",Boutique Air,OST-1996-1266,08/01/20,07/31/22,2020-4-5,ORD,PC-12,9,3,18,IWD,46.527472,-90.131388,41.974522,-87.906596
MI,Manistee/Ludington,"$2,990,575",AEAS/North Country Sky,OST-1996-1711,08/01/18,09/30/20,2018-4-19,MDW,D328 Jet,30,1 or 2,6 or 12 AEAS,MBL,44.272472,-86.246888,41.785972,-87.752416
MI,Muskegon,"$3,174,790",SkyWest,OST-2009-0301,02/01/20,01/31/23,2020-2-1,ORD,CRJ-200,50,2,14,MKG,43.167672,-86.235438,41.974522,-87.906596
MI,Pellston,"$1,724,962",SkyWest,OST-2011-0133,02/01/20,01/31/22,2020-1-11,DTW,CRJ-200,50,2,12,PLN,45.570917,-84.796721,42.212444,-83.353388
MI,Sault Ste. Marie,"$2,729,306",SkyWest,OST-2009-0303,02/01/19,01/31/21,2018-10-18,DTW,CRJ-200,50,2,13,CIU,46.250751,-84.472384,42.212444,-83.353388
MI,Sault Ste. Marie,"$2,729,306",SkyWest,OST-2009-0303,02/01/19,01/31/21,2018-10-18,MSP,CRJ-200,50,2,13,CIU,46.250751,-84.472384,44.881972,-93.221777
MN,Bemidji,"$1,344,499",SkyWest,OST-2011-0134,03/01/20,02/28/22,2020-1-13,MSP,CRJ-200,50,2,14,BJI,47.510722,-94.934721,44.881972,-93.221777
MN,Brainerd,"$1,973,113",SkyWest,OST-2011-0135,02/01/19,01/31/21,2018-10-18,MSP,CRJ-200,50,2,12,BRD,46.404222,-94.133805,44.881972,-93.221777
MN,Chisholm/Hibbing,"$2,463,352",SkyWest,OST-2003-15796,06/01/20,05/31/22,2020-2-11,MSP,CRJ-200,50,2,12,HIB,47.386583,-92.838971,44.881972,-93.221777
MN,International Falls,"$2,981,632",SkyWest,OST-2009-0304,02/01/19,01/31/21,2018-10-18,MSP,CRJ-200,50,2,12,INL,48.565583,-93.402166,44.881972,-93.221777
MN,Thief River Falls,"$3,956,517",Key Lime Air/DAC,OST-2001-10642,06/01/20,05/31/22,2020-2-21,MSP,D328 Jet,30,2,12,TVF,48.065677,-96.184994,44.881972,-93.221777
MO,Cape Girardeau/Sikeston,"$3,371,863",SkyWest,OST-1996-1559,12/01/19,11/30/21,2019-10-13,ORD,CRJ-200,50,2,12,CGI,37.225306,-89.570749,41.974522,-87.906596
MO,Fort Leonard Wood,"$3,111,628",AEAS/Contour,OST-1996-1167,02/01/19,09/30/21,2018-12-13,STL,ERJ-135,30,2,12 AEAS,TBN,37.741639,-92.140721,38.748697,-90.370028
MO,Kirksville,"$2,110,803",Cape Air,OST-1997-2515,10/01/16,09/30/20,2016-8-14,STL,Cessna 402,9,3,21,IRK,40.093472,-92.544916,38.748697,-90.370028
MS,Greenville,"$2,862,063",Boutique Air,OST-2008-0209,10/01/17,09/30/21,2017-6-23,BNA,PC-12,8,3,18,GLH,33.482881,-90.985613,36.124475,-86.67818
MS,Greenville,"$2,862,063",Boutique Air,OST-2008-0209,10/01/17,09/30/21,2017-6-23,DFW,PC-12,8,3,18,GLH,33.482881,-90.985613,32.897233,-97.037694
MS,Laurel/Hattiesburg,"$3,066,327",SkyWest,OST-2001-10685,11/01/18,10/31/20,2020-5-8,IAH,CRJ-200,50,2,12,PIB,31.467139,-89.337055,29.984435,-95.341442
MS,Meridian,"$3,265,490",SkyWest,OST-2008-0112,11/01/18,10/31/20,2020-5-8,IAH,CRJ-200,50,2,12,MEI,32.332611,-88.75186,29.984435,-95.341442
MS,Tupelo,"$3,932,032",AEAS/Contour,OST-2009-0305,03/01/18,09/30/20,2018-3-17,BNA,ERJ-135,30,3,18 AEAS,TUP,34.269,-88.769888,36.124475,-86.67818
MT,Butte,"$796,249",SkyWest,OST-2011-0136,01/01/20,12/31/21,2019-12-5,SLC,CRJ-200,50,2,13,BTM,45.954806,-112.497471,40.788393,-111.977772
MT,Glasgow,"$2,137,131",Cape Air,OST-1997-2605,01/01/20,12/31/23,2019-10-11,BIL,C-402/Tecnam,9,2,14,GGW,48.212444,-106.614805,45.807849,-108.543543
MT,Glendive,"$2,308,580",Cape Air,OST-1997-2605,01/01/20,12/31/23,2019-10-11,BIL,C-402/Tecnam,9,2,14,GDV,47.138722,-104.807221,45.807849,-108.543543
MT,Havre,"$2,274,015",Cape Air,OST-1997-2605,01/01/20,12/31/23,2019-10-11,BIL,C-402/Tecnam,9,2,14,HVR,48.542972,-109.762332,45.807849,-108.543543
MT,Sidney,"$4,220,148",Cape Air,OST-1997-2605,01/01/20,12/31/23,2019-10-11,BIL,C-402/Tecnam,9,5,35,SDY,47.706861,-104.192555,45.807849,-108.543543
MT,West Yellowstone,"$649,630",SkyWest,OST-2003-14626,05/09/19,10/13/20,2019-3-4,SLC,CRJ-200,50,2,12,WYS,44.688389,-111.117638,40.788393,-111.977772
MT,Wolf Point,"$2,298,572",Cape Air,OST-1997-2605,01/01/20,12/31/23,2019-10-11,BIL,C-402/Tecnam,9,2,14,OLF,48.0945,-105.575055,45.807849,-108.543543
ND,Devils Lake,"$4,374,843",SkyWest,OST-1997-2785,07/01/20,06/30/23,2020-7-1,DEN,CRJ-200,50,2,12,DVL,48.116583,-98.909999,39.861667,-104.673166
ND,Dickinson,"$3,650,000",United,OST-1995-697,10/01/18,09/30/20,2018-6-17,DEN,ERJ-145,50,2,12,DIK,46.797333,-102.80186,39.861667,-104.673166
ND,Jamestown (ND),"$3,100,464",SkyWest,OST-1997-2785,07/01/20,06/30/23,2020-7-1,DEN,CRJ-200,50,2,12,JMS,46.929722,-98.678193,39.861667,-104.673166
NE,Alliance,"$2,299,631",Key Lime Air/DAC,OST-2000-8322,06/01/19,05/31/21,2019-3-6,DEN,Metro 23,9,2,12,AIA,42.053222,-102.803749,39.861667,-104.673166
NE,Chadron,"$2,518,207",Boutique Air,OST-2000-8322,06/01/19,05/31/21,2019-3-6,DEN,PC-12,8,2,12,CDR,42.837558,-103.095401,39.861667,-104.673166
NE,Grand Island,"$389,392",American,OST-2002-13983,07/01/19,06/30/21,2019-5-16,DFW,ERJ-140,44,2,13,GRI,40.967543,-98.309638,32.897233,-97.037694
NE,Kearney,"$1,819,132",SkyWest,OST-1996-1715,09/01/20,08/31/23,2020-6-10,DEN,CRJ-200,50,2,12,EAR,40.727041,-99.006769,39.861667,-104.673166
NE,Kearney,"$1,819,132",SkyWest,OST-1996-1715,09/01/20,08/31/23,2020-6-10,ORD,CRJ-200,50,2,12,EAR,40.727041,-99.006769,41.974522,-87.906596
NE,McCook,"$2,561,939",Boutique Air,OST-1997-3005,06/01/18,05/31/22,2018-5-10,DEN,PC-12,8,2,12,MCK,40.206278,-100.592082,39.861667,-104.673166
NE,North Platte,"$3,419,349",SkyWest,OST-1999-5173,02/01/20,01/31/23,2019-10-15,DEN,CRJ-200,50,2,12,LBF,41.126222,-100.683666,39.861667,-104.673166
NE,Scottsbluff,"$2,989,039",SkyWest,OST-2003-14535,02/01/20,01/31/23,2019-10-15,DEN,CRJ-200,50,2,12,BFF,41.874028,-103.595638,39.861667,-104.673166
NH,Lebanon/White River Jct.,"$1,855,374",Cape Air,OST-2003-14822,12/01/18,11/30/22,2018-9-14,BOS,Cessna 402,9,6,42,LEB,43.626111,-72.304193,42.362944,-71.006388
NH,Lebanon/White River Jct.,"$1,855,374",Cape Air,OST-2003-14822,12/01/18,11/30/22,2018-9-14,HPN,Cessna 402,9,6,42,LEB,43.626111,-72.304193,41.066953,-73.707565
NM,Carlsbad,"$1,452,958.50",Boutique Air,OST-2002-12802,06/01/19,05/31/21,2019-4-19,ABQ,PC-12,8,3,18,CNM,32.337444,-104.26336,35.038932,-106.608261
NM,Carlsbad,"$1,452,958.50",Boutique Air,OST-2002-12802,06/01/19,05/31/21,2019-4-19,DFW,PC-12,8,3,18,CNM,32.337444,-104.26336,32.897233,-97.037694
NM,Clovis,"$4,398,896",Key Lime Air/DAC,OST-1996-1902,05/01/20,04/30/22,2020-2-2,DEN,Dornier 328 Jet,30,2,12,CVN,34.42659,-103.077579,39.861667,-104.673166
NM,Silver City/Hurley/Deming,"$1,756,683.50",Advanced Air,OST-1996-1903,01/01/19,12/31/20,2018-10-15,ABQ,King Air,9,4,24,SVC,32.636547,-108.156384,35.038932,-106.608261
NM,Silver City/Hurley/Deming,"$1,756,683.50",Advanced Air,OST-1996-1903,01/01/19,12/31/20,2018-10-15,PHX,King Air,9,4,24,SVC,32.636547,-108.156384,33.434278,-112.011582
NY,Massena,"$3,166,481",Boutique Air,OST-2012-0163,04/01/19,03/31/21,2019-3-3,BOS,PC-12,8,3,21,MSS,44.936241,-74.845119,42.362944,-71.006388
NY,Ogdensburg,"$1,499,406.50",SkyWest,OST-1997-2842,05/03/19,03/31/21,2019-3-3,IAD,CRJ-200,50,2,12,OGS,44.68225,-75.463249,38.947444,-77.459943
NY,Ogdensburg,"$1,499,406.50",SkyWest,OST-1997-2842,05/03/19,03/31/21,2019-3-3,ORD,CRJ-200,50,2,12,OGS,44.68225,-75.463249,41.974522,-87.906596
NY,Plattsburgh,"$3,340,136",SkyWest,OST-2003-14783,07/01/20,06/30/22,2020-5-12,ORD,CRJ-200,50,2,12,PBG,44.650944,-73.468138,41.974522,-87.906596
NY,Saranac Lake/Lake Placid,"$2,170,446",Cape Air,OST-2000-8025 ,03/01/18,02/28/22,2018-1-15,BOS,Cessna 402,9,3,21,SLK,44.385308,-74.20618,42.362944,-71.006388
NY,Watertown (NY),"$3,588,908",American,OST-2013-0188,02/01/20,01/31/22,2020-1-12,PHL,ERJ-145,50,2,12,ART,43.991833,-76.019416,39.872084,-75.240662
OR,Pendleton,"$2,558,939",Boutique Air,OST-2004-19934,01/01/19,12/31/22,2018-11-4,PDX,PC-12,8,3,21,PDT,45.694766,-118.843007,45.588709,-122.596868
PA,Altoona,"$1,272,140",Southern,OST-2002-11446,10/01/18,09/30/20,2018-8-23,BWI,Caravan,9,4,26,AOO,40.296361,-78.320027,39.175728,-76.66899
PA,Altoona,"$1,272,140",Southern,OST-2002-11446,10/01/18,09/30/20,2018-8-23,PIT,Caravan,9,4,26,AOO,40.296361,-78.320027,40.491417,-80.232693
PA,Bradford,"$1,182,442.50",Southern,OST-2003-14528,11/01/18,10/31/20,2018-10-6,PIT,Caravan,9,4,24,BFD,41.802954,-78.639965,40.491417,-80.232693
PA,Bradford,"$1,182,442.50",Southern,OST-2003-14528,11/01/18,10/31/20,2018-10-6,PIT,Caravan,9,4,24,BFD,41.802954,-78.639965,40.491417,-80.232693
PA,DuBois,"$1,599,503.50",Southern,OST-2004-17617,11/01/18,10/31/20,2018-9-5,BWI,Caravan,9,6,38,DUJ,41.178278,-78.898693,39.175728,-76.66899
PA,DuBois,"$1,599,503.50",Southern,OST-2004-17617,11/01/18,10/31/20,2018-9-5,PIT,Caravan,9,6,38,DUJ,41.178278,-78.898693,40.491417,-80.232693
PA,Johnstown,"$1,581,548.50",Boutique Air,OST-2002-11451,11/01/18,10/31/20,2018-8-18,BWI,PC-12,9,5,30,JST,40.315556,-78.834666,39.175728,-76.66899
PA,Johnstown,"$1,581,548.50",Boutique Air,OST-2002-11451,11/01/18,10/31/20,2018-8-18,PIT,PC-12,9,5,30,JST,40.315556,-78.834666,40.491417,-80.232693
PA,Lancaster,"$1,252,087",Southern,OST-2002-11450,11/05/12,12/31/20,2019-12-12,BWI,Caravan,9,5,30,LNS,40.122361,-76.29436,39.175728,-76.66899
PA,Lancaster,"$1,252,087",Southern,OST-2002-11450,11/05/12,12/31/20,2019-12-12,PIT,Caravan,9,5,30,LNS,40.122361,-76.29436,40.491417,-80.232693
PR,Mayaguez,"$1,645,332",Cape Air,OST-2004-19622,05/01/16,04/30/21,2016-2-1,SJU,Cessna 402,9,4,28,MAZ,18.255694,-67.148471,18.439399,-66.002132
SD,Aberdeen,"$1,298,572",SkyWest,OST-2011-0137,03/01/20,02/28/22,2020-1-13,MSP,CRJ-200,50,2,14,ABR,45.446798,-98.42244,44.881972,-93.221777
SD,Pierre,"$1,819,219.50",SkyWest,OST-2011-0138,02/13/19,04/30/21,2019-2-12,DEN,CRJ-200,50,2,12,PIR,44.382694,-100.285971,39.861667,-104.673166
SD,Pierre,"$1,819,219.50",SkyWest,OST-2011-0138,02/13/19,04/30/21,2019-2-12,DEN,CRJ-200,50,2,12,PIR,44.382694,-100.285971,39.861667,-104.673166
SD,Watertown (SD),"$1,622,059",SkyWest,OST-2001-10644,02/13/19,04/30/21,2019-2-12,DEN,CRJ-200,50,2,12,ATY,44.913972,-97.154721,39.861667,-104.673166
SD,Watertown (SD),"$1,622,059",SkyWest,OST-2001-10644,02/13/19,04/30/21,2019-2-12,ORD,CRJ-200,50,2,12,ATY,44.913972,-97.154721,41.974522,-87.906596
TN,Jackson,"$942,199.50",Air Choice One,OST-2000-7857,06/01/17,05/31/21,2017-3-11,ATL,Caravan,9,3,18,MKL,35.599889,-88.91561,33.6367,-84.427863
TN,Jackson,"$942,199.50",Air Choice One,OST-2000-7857,06/01/17,05/31/21,2017-3-11,STL,Caravan,9,3,18,MKL,35.599889,-88.91561,38.748697,-90.370028
TX,Victoria,"$1,705,706",Boutique Air,OST-2005-20454,11/01/18,10/31/20,2018-9-18,DFW,King Air 350,9,3,21,VCT,28.852546,-96.918488,32.897233,-97.037694
TX,Victoria,"$1,705,706",Boutique Air,OST-2005-20454,11/01/18,10/31/20,2018-9-18,IAH,King Air 350,9,3,21,VCT,28.852546,-96.918488,29.984435,-95.341442
UT,Cedar City,"$2,576,773",SkyWest,OST-2003-16395,01/01/20,12/31/21,2019-6-15,SLC,CRJ-200,50,2,12,CDC,37.700972,-113.09886,40.788393,-111.977772
UT,Moab,"$2,974,268",SkyWest,OST-1997-2827,07/01/20,06/30/22,2020-6-21,DEN,CRJ-200,50,2,12,CNY,38.757499,-109.753541,39.861667,-104.673166
UT,Vernal,"$3,060,645",SkyWest,OST-1997-2706,07/01/20,06/30/22,2020-6-21,DEN,CRJ-200,50,2,12,VEL,40.436078,-109.511421,39.861667,-104.673166
VA,Staunton,"$3,238,406",SkyWest,OST-2002-11378,04/01/20,03/31/23,2020-3-11,IAD,CRJ-200,50,2,12,SHD,38.263833,-78.896443,38.947444,-77.459943
VA,Staunton,"$3,238,406",SkyWest,OST-2002-11378,04/01/20,03/31/23,2020-3-11,ORD,CRJ-200,50,2,12,SHD,38.263833,-78.896443,41.974522,-87.906596
VT,Rutland,"$1,702,873",Cape Air,OST-2005-21681,11/01/19,10/31/21,2019-6-16,BOS,C-402/Tecnam,9,3,21,RUT,43.52973,-72.949625,42.362944,-71.006388
WI,Eau Claire,"$2,363,769",SkyWest,OST-2009-0306,02/01/20,01/31/23,2020-2-1,ORD,CRJ-200,50,2,14,EAU,44.865806,-91.484249,41.974522,-87.906596
WI,Rhinelander,"$2,293,516",SkyWest,OST-2011-0109,02/01/19,01/31/21,2018-10-18,MSP,CRJ-200,50,2,14,RHI,45.6309,-89.466627,44.881972,-93.221777
WV,Beckley,"$2,827,968",AEAS/Contour,OST-1997-2761,12/01/18,09/30/21,2018-10-8,CLT,ERJ-135,30,2,12 AEAS,BKW,37.787333,-81.124166,35.21375,-80.949055
WV,Clarksburg/Fairmont,"$1,399,678",SkyWest,OST-2005-20736,11/01/19,10/31/21,2019-10-3,IAD,CRJ-200,50,2,12,CKB,39.297655,-80.227531,38.947444,-77.459943
WV,Clarksburg/Fairmont,"$1,399,678",SkyWest,OST-2005-20736,11/01/19,10/31/21,2019-10-3,ORD,CRJ-200,50,2,12,CKB,39.297655,-80.227531,41.974522,-87.906596
WV,Greenbrier/White Sulphur Springs/Lewisburg,"$939,572.25",SkyWest,OST-2003-15553,04/01/20,03/31/23,2020-3-11,IAD,CRJ-200,50,2,12,LWB,37.858307,-80.399481,38.947444,-77.459943
WV,Greenbrier/White Sulphur Springs/Lewisburg,"$939,572.25",SkyWest,OST-2003-15553,04/01/20,03/31/23,2020-3-11,ORD,CRJ-200,50,2,12,LWB,37.858307,-80.399481,41.974522,-87.906596
WV,Morgantown,"$1,564,128",Southern,OST-2005-20735,11/01/18,10/31/20,2018-9-5,BWI,Caravan,9,6,38,MGW,39.643595,-79.917546,39.175728,-76.66899
WV,Morgantown,"$1,564,128",Southern,OST-2005-20735,11/01/18,10/31/20,2018-9-5,PIT,Caravan,9,6,38,MGW,39.643595,-79.917546,40.491417,-80.232693
WV,"Parkersburg/Marietta, OH","$2,134,573",AEAS/Contour,OST-2005-20734,12/01/18,09/30/21,2018-10-8,CLT,ERJ-135,30,2,12 AEAS,PKB,39.344962,-81.439292,35.21375,-80.949055
WY,Cody,"$841,000",United,OST-2011-0121,03/01/20,05/31/22,2020-1-14,DEN,ERJ-145,50,2,14,COD,44.520194,-109.023805,39.861667,-104.673166
